	Cluster_Label
0	0
1	0
2	1
3	2
4	0
5	0
6	1
7	1
8	2
9	1
10	0
11	2
12	0
13	2
14	1
15	0
16	0
17	0
18	1
19	1
20	2
21	1
22	0
23	0
24	1
25	2
26	0
27	0
28	1
29	0
30	2
31	1
32	2
33	2
34	0
35	1
36	2
37	2
38	2
39	2
40	2
41	2
42	0
43	2
44	2
45	2
46	0
47	0
48	1
49	0
50	1
51	1
52	0
53	2
54	0
55	0
56	2
57	2
58	1
59	2
60	0
61	2
62	2
63	1
64	1
65	2
66	2
67	0
68	2
69	1
70	1
71	1
72	0
73	1
74	1
75	0
76	2
77	2
78	2
79	0
80	1
81	1
82	2
83	1
84	2
85	1
86	1
87	2
88	2
89	2
90	1
91	1
92	2
93	0
94	2
95	2
96	1
97	1
98	0
99	2
100	0
101	2
102	2
103	1
104	0
105	0
106	1
107	2
108	1
109	2
110	1
111	0
112	2
113	0
114	0
115	1
116	1
117	0
118	1
119	0
120	2
121	1
122	1
123	1
124	1
125	0
126	2
127	1
128	1
129	0
130	1
131	1
132	1
133	1
134	0
135	0
136	1
137	1
138	1
139	2
140	1
141	1
142	1
143	1
144	0
145	0
146	1
147	2
148	2
149	2
150	0
151	1
152	0
153	1
154	0
155	0
156	0
157	2
158	1
159	2
160	0
161	1
162	2
163	2
164	2
165	1
166	0
167	0
168	1
169	2
170	2
171	0
172	0
173	2
174	2
175	0
176	1
177	2
178	0
179	1
180	0
181	2
182	0
183	0
184	1
185	0
186	0
187	1
188	2
189	2
190	2
191	1
192	0
193	0
194	0
195	2
196	0
197	0
198	2
199	0
200	2
201	1
202	2
203	0
204	1
205	0
206	0
207	1
208	2
209	1
210	1
211	0
212	2
213	2
214	0
215	2
216	2
217	0
218	1
219	2
220	1
221	0
222	0
223	1
224	2
225	0
226	1
227	2
228	0
229	0
230	2
231	0
232	0
233	0
234	1
235	2
236	2
237	2
238	0
239	0
240	0
241	0
242	1
243	2
244	0
245	1
246	1
247	0
248	0
249	2
250	1
251	2
252	1
253	2
254	1
255	1
256	2
257	2
258	0
259	2
260	2
261	2
262	0
263	2
264	2
265	1
266	0
267	1
268	0
269	0
270	2
271	2
272	1
273	1
274	0
275	1
276	1
277	2
278	2
279	0
280	0
281	2
282	1
283	0
284	1
285	0
286	1
287	1
288	1
289	2
290	2
291	0
292	1
293	0
294	2
295	1
296	2
297	1
298	0
299	1
300	0
301	0
302	0
303	1
304	0
